,Prefix,First Name,Last Name,Job Title,Mobile Number,Company,Business Category,NAICS Codes,Commodities,Location,Geographical Region,Number of Employees,Ethnicity,References,Scope of Work,Revenue,Business Description,Keywords,Business Structure,Fax Number,Outside Facilities
13,0.49276,-0.68058,1.2781,-1.1266,-0.6966467,-0.576475,0.542355,1.0534134,1.7338,1.7642568,-1.529,1.0475,1.4148,0.18569052,1.4880204,-2.5268335,0.9664771,1.3184346,1.5488,-0.41468665,-0.85999
14,-5.5891,-2.7517,-0.38525,-5.1961,-0.4253027,-1.5649875,-0.43443498,-0.05877829,2.1293,-2.9715018,-2.5243,0.014271,0.69529,-2.1267202,-1.6498414,-4.5012336,0.060928103,-0.17905699,-4.7001,0.23209332,-1.1479
15,-3.8202,2.2168,1.1577,5.7163,-0.4752594,2.420485,2.39655,2.2153168,1.8772,-0.9676307,3.2635,1.2396,1.1815,0.17286193,0.3993972,-4.9697337,1.8139877,1.2906308,5.6788,-1.0219866,-1.2935
16,-2.1703,1.8227,2.3023,0.54252,0.085476995,2.19785,3.0294247,4.5572333,6.7191,0.516857,5.1482,1.5395,-1.5158,0.42540073,4.474076,4.0695996,2.1714823,3.0476568,3.4385,0.276193,-2.5269
17,1.6331,1.9409,2.6664,1.7376,1.2226399,5.55175,3.945475,4.2186837,4.9828,3.8253589,-1.4665,0.41026,0.57047,2.6897063,1.3856565,0.42573333,0.983923,2.1458511,7.4424,0.8602419,2.4942
18,2.468,-3.0885,-0.53355,-1.9242,-2.4008672,-0.37897497,-4.5125504,-5.4356995,-5.4643,-1.8936602,-2.4863,0.020379,1.638,-1.7410678,-3.2061706,0.27231336,-1.9658113,-1.8235657,-3.6357,-2.0920331,-2.2553
19,6.2484,0.39383,0.001534,5.057,-0.8423566,-2.11049,-0.8798425,-1.5479584,0.22088,-1.3485602,-0.066536,0.91577,-0.64876,0.6733227,1.4959555,3.7032,-0.88517326,0.13121411,-1.3881,-0.7091734,-2.4464
20,-2.4268,1.6169,-0.52538,1.7699,-0.38766003,0.806355,0.37483752,-0.70611995,-1.295,-1.9272592,2.995,0.99194,-4.3332,-0.30096343,-0.9933276,-0.70277673,0.34862307,-0.6032585,1.4773,-0.7669299,-0.73483
21,0.88878,0.96229,-0.11461,-1.6703,0.57211334,2.2562082,0.80746245,1.0578742,0.5964,1.447648,0.61935,-0.28066,1.5097,0.94039834,0.0190948,4.558767,0.5980231,1.0399271,5.0034,-0.48378,-2.0619
22,8.0586,-0.72315,-4.4239,0.90547,-0.632921,-3.7186751,-2.278695,-2.0889666,-1.8735,0.07950223,-2.4055,0.62212,-2.5979,-0.41445148,-2.4465287,1.8452934,-2.3012059,-1.2784241,-3.1306,-0.8903034,-0.96745
23,-1.3841,-1.9408,2.5776,3.2243,0.28544,3.4294999,3.634925,5.0601,5.4963,0.586847,-2.8374,-1.8566,-0.4788,0.9530339,1.0805253,3.5013485,2.0563767,1.8970573,4.1942,1.3888868,-0.45936
24,-0.068706,-2.6202,2.4403,3.4054,0.3703103,0.54368,2.89595,1.2491183,1.3408,0.88422203,0.2184,-1.2831,4.126,1.9762871,-1.5291126,-10.3843,0.48612958,1.6406413,3.4091,-0.41567767,-0.71279
25,2.3051,-2.5602,0.78111,-0.23364,0.7736843,-2.1008,-1.6479149,-2.2069235,-4.4271,-1.1909813,-0.59533,1.4375,0.15348,-1.096563,-2.3126588,3.0358334,-1.3765134,-1.2550917,-3.5845,0.097926654,-0.83612
26,-0.78225,-3.7321,0.36923,-1.5526,-0.4607233,-0.8299215,-2.35609,-2.1388,-2.4141,0.13995598,-2.2457,0.52285,-2.9934,-1.1451117,0.15854187,0.6703634,-2.71937,-2.5342693,-2.3979,-0.18824,-0.62849
27,2.2967,0.80869,1.4316,-0.53425,0.77309996,-0.58184,-0.27873248,-0.05235501,-2.1213,-2.547467,-1.8763,0.24004,-0.90673,-0.20745108,-1.0815175,5.304167,-1.0048686,-0.8688779,0.037963,1.2166201,0.68376
28,-3.6273,0.56481,-2.0103,-0.16635,0.114543654,-1.4017825,-0.35018,-2.1368134,-3.8373,0.9321111,-0.19307,-0.80384,2.3191,-0.1605247,-0.71701807,-2.3657668,-0.87621915,-0.27041015,-3.563,-0.36298668,-3.3138
29,-4.2902,-3.1659,2.5314,-3.2199,-1.62231,-3.3149502,-0.160775,-1.9122492,-1.2948,-1.694623,-0.555,0.20363,-1.7283,-1.9784894,-0.6451255,1.5521001,0.012142285,-0.8220311,-3.0344,-0.6284,-1.2993
30,-3.0317,-0.55483,-2.3635,-1.3633,-0.66015595,2.79091,1.539145,1.7036567,0.36446,-0.45801002,2.1372,-0.80199,-0.72065,-0.033695962,1.1113572,4.3834,1.4052837,0.6179319,0.45565,0.085543334,0.30716
31,0.35158,2.1469,0.84429,2.3955,-1.8645085,1.405115,0.90172255,2.3038166,1.0746,0.67444617,1.9629,0.59575,-2.7876,1.227888,0.5317471,1.2329667,0.7462154,1.1827682,1.8441,-0.9887833,1.6262
32,1.757,1.3397,3.163,3.8625,1.0771999,0.748475,1.733475,1.63063,-0.73079,-0.7000941,2.1912,1.9679,-1.5149,1.3740172,-1.3663064,0.72777337,-0.14192358,-0.14094709,1.592,0.30703333,1.9551
33,0.98222,0.15495,1.2199,-0.89311,0.50498664,1.19655,0.77436996,1.0198715,0.38226,-3.094729,1.207,1.2597,-1.0117,0.30776381,1.5754039,-1.16335,-1.1860734,-0.31368187,2.4186,1.0103034,1.0416
34,-11.273,-0.051769,-2.0503,-3.4929,-0.89787,-1.9340127,-1.4459125,-0.33540663,-0.34567,-0.45863003,1.4218,-0.094224,-2.7492,-1.6494535,1.0118102,-1.4252933,-0.58723074,-0.5085843,-3.1832,-0.6991167,1.894
35,-2.171,-4.9153,0.58228,-3.6738,-0.813284,-1.7437425,0.23716998,-1.2860166,-3.5728,0.11677518,-3.2551,0.77771,-1.2884,-0.57095945,-1.4164587,-10.4323,-1.1073568,-0.7104149,-1.0817,-1.2115,-2.2685
36,3.4543,-0.92513,0.31492,-1.2739,-0.944139,2.7599626,4.717825,3.4869416,2.9289,0.39548403,7.1312,0.44455,-0.86529,1.1360077,0.93271834,3.8376,0.6690628,1.9209646,2.2128,0.36728337,3.3789
37,-5.7165,0.67654,-3.5937,-0.7751,0.60055,-0.98184013,-1.4003375,-1.2750833,-1.0409,-0.275181,-3.1029,-0.77368,-0.59152,-1.3633021,0.16143274,2.8952,0.47702175,-0.30902055,-1.0828,0.56815,-1.9911
38,0.68523,-4.3824,-4.3227,-6.4182,0.80978996,0.3430251,-2.1609302,-1.22482,-2.2584,-0.065902784,-3.1891,1.7788,-0.27527,-0.9455327,1.175395,1.9180666,0.48283035,-1.4497658,-2.5316,0.72527,2.1416
39,2.259,-1.1489,-3.7286,-3.7298,1.8115416,-1.9483376,-0.98352504,-1.8795334,-2.332,1.501981,-1.1559,-1.6771,-2.9683,-0.81098574,0.20233363,0.92257,-0.5880131,-1.4585688,-3.9679,1.3543835,2.3094
40,-5.771,-0.28764,1.2206,-2.2583,1.5674601,1.809875,2.1696625,3.0756004,3.0248,-0.2924723,1.6925,-1.6167,-0.11711,0.86518246,0.85655093,2.2494333,0.78210086,1.8803586,1.5159,0.9896667,1.8411
41,-0.037275,-0.36897,-0.14275,-1.0786,0.55515,2.8720975,1.4394649,-1.0266067,-0.93124,1.5286956,3.4863,-0.71876,-0.0097182,0.8337944,1.4981818,0.5889366,0.7461166,0.17208835,-1.2531,-0.120730005,0.92417
42,2.848,-1.0179,-1.0091,3.2672,-0.38878334,-1.20322,-2.470625,-3.60805,-5.4137,-0.023534015,-3.2654,0.58953,-0.44785,-1.024345,-2.0864606,-5.482967,-0.7136212,-2.468192,-1.9452,-1.5841733,-0.65867
43,-1.2823,6.0308,2.7022,4.3141,0.44373035,2.0416117,2.9847999,3.2195168,4.0299,2.4904423,3.4288,-1.1273,1.2917,1.6008186,0.5714596,3.3034801,0.85614103,2.3422818,2.7001,0.09112268,-0.56773
44,2.2518,-0.013272,-1.0794,0.26163,0.24716102,-1.5696001,-3.667725,-4.1101336,-1.1207,-1.0817679,-3.9471,1.1765,-0.6485,-1.7032845,-1.8394257,-0.15536673,-1.5980554,-1.7651304,-4.0543,-0.15370713,0.94644
45,-3.2907,-0.012939,-1.6981,-2.0665,0.23952098,2.5824325,2.21107,1.4705948,-0.44595,1.4532368,0.4776,0.14954,-0.8593,1.1080389,1.4127773,4.5017667,1.4879724,0.4044943,1.9337,-0.384644,2.2682
46,0.14592,0.39859,-0.068854,-1.4891,-0.284008,-1.8539476,0.937765,3.4172833,2.228,-0.8440703,1.004,1.0367,-2.2075,0.25849706,1.386062,1.2237,0.94136643,1.1099684,0.76874,0.26813,0.67093
47,-0.15102,0.16158,-1.7981,-1.4281,-0.17409332,0.92819774,-3.1545,-2.103365,1.0088,0.99211895,0.17086,-0.78234,0.65564,-0.63593477,-2.4600625,11.628367,-1.4538403,-0.6460271,-1.8167,-0.21278667,-1.7898
48,2.0182,-2.6451,1.6489,-2.2369,1.3079401,1.853081,-0.0025700033,0.13530168,-1.2103,2.203104,2.8354,0.038317,-1.402,1.3092053,-0.49401852,8.330267,0.27314585,0.21354482,1.6406,1.7599001,-1.5333
49,2.5328,-1.041,-4.7274,-1.6732,2.6267834,-2.0457673,-5.168075,-5.451216,-7.6267,1.512496,-6.473,1.5709,1.9059,-0.8442686,-1.5791371,-5.7081,-1.2197728,-3.601475,-3.6124,1.4807366,1.7064
50,-1.5929,-0.95239,-2.6508,-4.0101,-0.08733333,1.380795,-0.8708549,-2.0234466,-3.4273,-0.8662609,-1.1038,0.31158,-1.6546,-0.19876206,0.25227478,2.05248,-0.19056255,-1.320641,-1.492,-0.060336232,-1.5104
51,-0.59011,0.077307,1.068,3.0382,-2.1254468,-0.20548746,2.12105,1.8906502,2.0811,-2.172649,-1.5307,-1.2695,3.0245,-0.43526596,1.0360475,0.15393336,1.8959714,1.329037,3.3969,-2.8682,-0.88274
52,3.143,0.19556,-1.6501,2.3681,-0.05498,-2.3840752,-1.1290425,-0.91629505,-1.6429,-1.8409731,-1.849,1.5641,1.957,-1.1629338,-0.49843803,-7.738933,-0.6109433,-0.62011474,-0.93976,-0.31091967,0.67452
53,5.618,-1.0214,0.42557,-1.3629,-0.273253,-0.72862494,-2.3483672,-3.316293,-0.57146,1.0923349,0.74617,0.84571,-1.1334,0.51852596,-2.5959089,3.5546665,-3.5805147,-2.3831906,-2.1081,0.61601335,1.5714
54,1.7508,2.2541,0.45455,1.9733,0.0954,-0.50720173,2.0575,0.22006547,0.44198,-0.33689296,0.51892,-0.94183,-1.5226,-0.4150021,-1.3073013,-0.7326967,-0.43987373,-0.88709456,3.6582,1.3287133,-3.3743
55,-6.8532,-3.3127,-1.4231,4.217,-0.654148,0.30584878,2.248625,1.6621116,0.30855,0.116954125,3.7178,-0.17989,-0.13842,0.46640474,1.6185244,3.4264333,0.89155424,0.9485682,-1.2751,-0.34163666,0.40904
56,-1.2258,0.62754,-3.1138,-0.40505,1.2921567,-1.427875,-3.7785249,-4.25635,-4.0105,0.92155504,-2.5389,0.15778,1.705,-1.1393287,-2.8250775,-9.480267,-2.259648,-2.5224156,-3.874,1.7314,1.0998
57,0.23438,-2.3237,-0.97385,0.94125,2.1139567,-0.28717685,1.2673725,-0.25190333,-0.83747,1.3673189,1.8005,-0.38212,-0.98879,-0.4520731,1.7603241,4.6619334,1.6032118,0.33966738,-0.64344,1.3093799,0.97725
58,-3.996,-0.056205,-0.22143,-1.2449,-2.05486,-1.9051499,-0.022517443,1.7611634,0.12667,-0.62049955,-2.6325,-0.68587,1.1416,-1.3852701,-0.85262513,-1.6607567,0.5911427,1.1482568,-3.9132,-1.3565668,-1.9501
59,-4.4397,-0.77156,-2.4436,-2.6056,-0.0045296676,2.1644251,-2.682725,-3.594783,-4.038,-1.730066,-0.1824,0.76218,-0.71658,-0.799367,-2.3104591,-3.2648335,-1.0746193,-1.5886331,-1.3425,-0.28660664,2.5116
60,-3.9217,2.6254,1.0359,-0.37068,0.13090332,2.14838,1.5037175,1.3439983,0.2009,-1.0351057,2.8695,0.65693,-1.2885,0.5852483,3.5519137,-6.6811333,1.1123979,1.2708762,2.2789,-0.65920335,2.8646
61,-0.58513,0.49194,-4.3295,-3.0393,-0.96229,0.34247252,0.96362257,0.70316005,-2.1065,2.5646756,-1.6465,1.825,-2.1787,0.1896999,2.3180425,4.9897666,-0.25387824,0.51896626,-2.5525,-0.6184034,1.0138
62,0.09204,-2.2393,-1.8643,1.3815,0.035180014,0.1036925,-3.361825,-2.0039384,-0.28141,-0.20940796,2.7189,-0.70879,-1.6853,-0.62713766,-2.2601953,-0.9705,-1.2570274,-0.8233294,-0.2895,1.4109234,0.82744
63,1.8831,0.69368,3.5574,0.78574,0.82114965,3.784375,2.5062501,2.5695665,2.6353,-0.18786399,7.2214,-1.121,2.5636,1.7588078,0.54548246,-0.59953344,-0.6284941,2.5868704,1.226,0.79493666,-0.13212
64,3.1983,3.1066,-2.5765,7.0896,0.13130766,3.360625,2.6544,3.5057833,3.8913,2.0649602,4.5955,-0.4626,2.9475,2.7637026,1.3226666,6.3392997,3.334039,3.7284179,2.6779,0.6624734,-1.1123
65,-2.4999,-1.1254,-2.5117,-0.51829,0.5313733,0.62298495,-0.450705,0.095506705,1.314,1.1225989,-1.2092,-0.66741,-1.3757,0.48767576,3.3294048,-2.2927434,1.6134913,1.4013104,-1.2427,0.628422,1.7758
66,4.565,-2.169,-0.097585,1.0269,-0.76045996,-0.023119986,1.4116224,-0.26191032,-0.34178,-0.6954935,-0.18086,-1.3749,-0.62812,0.46754783,-1.6916081,0.23470004,-2.0833983,-1.4802119,1.9148,-0.46136996,-1.3142
67,-2.4512,-2.2318,-2.4885,-0.76073,0.6853833,-0.345375,-1.6240875,-2.4987998,-2.5898,1.5960389,-3.4247,0.0815,-0.42455,0.35654598,-3.9782324,-0.40824667,-1.6543202,-1.4092363,-1.8631,0.38763332,-0.30187
68,-0.72478,1.4191,2.3916,3.0416,0.49105665,0.43520498,2.238975,2.3096983,3.5752,0.39029706,4.7006,-0.87972,-0.088299,0.49451745,0.5964909,-0.6755666,0.53014433,1.5832912,2.6686,0.93140334,-0.53155
69,1.6769,-0.78952,2.434,3.6352,-0.9359867,-0.38813,2.1729276,2.3620167,1.1355,1.5809242,-0.65115,-0.62508,0.84325,0.8966881,2.6098864,1.9039999,1.4684389,1.6350621,2.1561,-0.61123866,2.2525
70,-0.36574,-3.4619,2.4393,3.7146,-0.22408533,-1.341065,-0.6685475,-2.4624,-3.6569,-1.8210096,3.9162,-0.90378,-0.13091,0.09784066,-0.7980906,-0.79990005,-0.54441005,-1.7612734,-1.0035,-0.71835566,1.1954
71,-3.9262,-1.3327,1.6899,-3.5911,-0.28243336,0.24409746,0.82703006,0.7779317,1.1023,-1.1818087,-0.15448,-1.3627,0.43356,-0.88224536,-0.053332053,2.4394333,-0.49141842,0.70198864,1.8872,-0.42891002,0.096023
72,-1.9134,-1.076,1.8698,0.93236,0.022576666,-1.6564125,-1.4003999,-1.4176,-1.1296,0.1813675,3.6004,-0.79267,1.0436,-0.09500061,-0.40762803,2.2567666,-1.1368895,-0.010592721,-3.2383,-0.057029992,0.49693
73,2.3029,2.208,0.40399,3.4889,-0.55913,1.3913574,0.5181,2.5208619,1.2586,0.77811414,3.2934,-1.1889,0.51561,0.28831506,0.3849147,2.0340378,0.6749258,1.3816602,1.055,-1.5077934,-1.5994
74,4.3189,1.6815,-3.6671,0.37757,0.23612034,1.8149875,-1.2258801,-2.6016333,-1.4635,-0.73937213,-5.1866,0.82195,-1.6701,-0.12763374,-1.597592,-2.990343,-0.30994552,-1.2706732,-0.5306,-0.16813965,-1.0577
75,1.9298,4.4708,-2.5203,-1.5873,-0.14042333,-0.60645753,-2.1348126,-0.9966567,-1.388,1.0678012,1.4352,-0.93509,-0.49437,0.4208696,0.006020231,4.646167,0.73177797,-0.6504658,-2.9066,-0.40057698,-0.7178
76,-0.28783,-0.60675,2.4514,0.83981,0.38238335,0.38707995,-0.5744325,-0.9893467,-1.7176,0.797532,1.7305,1.0769,-2.9252,0.15259206,-1.4127169,6.0754,-1.4551954,-0.8426737,-1.3182,0.7438633,3.8514
77,2.6903,-1.6403,1.3338,3.762,0.07092,1.5202125,3.8929,3.724,1.9234,-1.389101,-0.11138,-0.64875,0.55739,0.90071523,0.23240162,-1.8027433,1.4046533,1.9432725,3.9565,1.0573534,1.2361
78,-1.6828,-0.94946,-1.3653,-1.6328,-0.7795467,1.6318225,-0.7186425,-1.3412951,-0.70196,0.8088021,2.8227,1.0117,-1.2061,0.10150766,-1.013766,-0.7856967,-0.9797622,-1.0429231,0.24821,-1.3323234,-1.1728
79,-1.0105,2.0028,3.1903,-0.19659,0.6193283,1.97667,0.30798995,1.6616001,1.1491,1.3975954,-0.060778,0.31949,2.0873,0.68897563,2.4126995,11.408299,0.8746436,1.9002099,0.70523,0.7312033,-2.6365
80,1.7446,-0.6191,1.096,0.086598,0.26922867,1.172205,-0.812625,0.18480639,1.4578,-0.6352931,0.64776,0.16987,-0.0933,1.232038,-2.3183177,4.5066667,-2.9492078,0.24710709,0.70512,-0.22242332,-0.32638
81,3.2233,0.71,1.5223,-1.8636,1.6172372,2.3969738,0.35554,0.6926667,-0.70645,1.6553112,0.86164,0.29045,0.44103,1.8154902,-0.48086798,2.0382166,-0.000470455,-0.20406762,3.4707,0.8694,-0.73467
82,0.84087,-1.0791,-0.71507,-3.2677,-0.30947667,-2.475425,-4.021975,-3.7843502,-5.997,-1.789386,-4.1786,1.9683,-1.056,-2.0387406,-1.513424,-9.472233,-0.092345834,-2.2643843,-2.7727,0.08929666,0.78209
83,1.6589,-0.020995,-1.0006,2.0952,0.43714035,-0.2042,0.7871975,1.1454922,0.98436,1.119047,4.1656,0.18754,0.57057,1.4088863,1.9278569,2.7157402,1.7187614,0.7995091,0.47386,0.86433333,-0.2735
84,-0.79708,-0.33035,-3.4341,-5.3947,0.030643994,1.6175901,-1.7110325,-1.306255,0.80052,0.6052657,0.64576,0.014313,3.4978,-0.3480385,0.7069268,1.5884266,0.82043016,-0.04722368,-1.0961,0.07321334,1.1814
85,-1.7601,-0.40885,1.3826,1.5862,0.44779667,-2.4101,1.9126499,1.4263333,1.3993,-0.89462936,-0.008259,-1.3854,1.4382,-0.86683553,0.8645257,-1.4027667,0.29667506,0.013411433,-3.2372,0.19984667,-0.47648
86,-1.8512,-1.8472,-2.3819,-5.121,-1.22738,-0.80657494,-1.9865177,-2.5418668,-1.0883,0.243534,-0.41493,0.92617,-0.79326,-1.2134016,-0.4621171,0.69806653,-1.469541,-1.8040351,-3.0527,-0.7324333,-2.9741
87,4.1892,-1.4675,2.0482,-2.3063,0.045817334,-1.6444725,-0.47298712,-0.76664495,0.58385,0.7568196,-4.6626,-0.34019,-1.9431,0.20213613,-2.2016332,3.8203669,-2.659849,-1.7188715,-0.38082,1.0230967,-1.3388
88,-0.83049,-0.78636,0.97384,4.1452,-0.15385,0.5346053,0.54823756,2.14455,2.8239,-1.986384,0.4831,0.3608,-1.2939,-0.34163266,1.6201296,-4.5642667,0.7148079,0.61403817,1.4227,-0.40643668,-1.2531
89,-2.3049,-0.25143,-3.2911,-5.5419,0.5350407,1.125035,-0.7318775,-0.37619662,-1.4222,1.5633801,-0.4212,1.8689,-1.1958,-0.5414666,0.34446976,3.1869335,-0.10491618,-0.51587284,0.099635,0.26751003,0.14523
90,-0.84975,0.94291,-0.26866,-1.0979,-2.1879766,0.99787754,1.1650792,2.4482334,2.4215,-0.95213,1.9913,-0.82122,-1.5429,-0.6301618,-0.93977046,0.6746667,-0.2588604,0.8107867,0.27011,-1.6496667,2.4433
91,-1.7642,3.5994,-0.20704,2.8145,1.8252268,0.87228006,1.3116174,1.9277734,1.4495,3.4521458,-2.5121,-0.081057,0.16044,0.7890309,1.2138314,9.5427,1.130891,1.243958,1.5925,1.3459381,1.6526
92,3.0408,1.8594,0.38156,1.6987,1.2677633,-2.7870724,1.0068675,0.32891664,1.4167,0.3594869,-2.3772,-0.48657,0.96032,-0.784843,1.1684027,-2.7066333,0.20295733,-1.114691,-0.3384,0.45376334,-0.012231
93,-0.47096,-0.24924,1.7969,-1.3401,0.2638861,0.75385255,0.93148994,-0.8861634,-3.5043,1.1781633,2.3591,0.090951,0.25115,1.551871,-1.7935975,9.817666,-1.7555852,-0.26836914,-1.5001,0.11653336,-1.9846
94,1.3503,-2.2334,3.6052,1.7172,0.5182767,-0.5237775,-0.90420496,-0.056378335,1.3993,-0.0022678121,-0.14457,0.92954,-1.0087,0.030572651,-0.57060087,-2.60547,-0.36894444,-0.7512065,1.6986,-0.16986413,-3.0004
95,0.058606,1.6411,3.9838,3.096,-0.17054999,1.25105,2.5318751,2.1603167,1.277,-1.1575334,1.4578,1.9139,0.63688,0.0624772,0.5254088,11.672347,0.84789324,0.83357704,2.4762,-0.10829663,2.009
96,-2.0301,1.8574,-1.9758,-3.1097,0.46716,-2.45314,-1.448285,-2.4853349,-5.5643,2.494795,-1.5591,0.18218,-1.368,-0.5354708,-1.0452175,-1.94599,0.032448247,-0.5999391,-2.379,-0.91456336,2.0472
97,2.9373,-0.1712,-2.2506,1.1372,1.30193,-0.13194747,-0.74537146,1.4506,2.7285,2.0143108,-1.6906,0.77682,-1.2906,0.31836256,-0.6127748,2.6042666,-1.2266382,-0.59868455,1.6251,1.6976,-2.5905
98,0.74428,0.002453,0.72505,3.6573,-0.12808667,-0.2340875,2.3647602,0.81706285,1.1045,0.9307736,1.7748,1.3976,0.63954,0.98192257,1.6397638,0.5964667,1.1823121,1.3550981,1.9593,-0.9728467,-2.2358
99,5.8556,-0.30155,0.087503,2.3165,-1.3628901,0.37868997,1.6335261,1.6485482,0.62389,-1.1648954,1.8749,-0.77915,-1.0101,0.62023735,1.3285736,-1.1237,1.5033338,0.9094696,2.8446,-0.9003933,2.798
100,5.1881,-0.17808,-0.56178,3.3572,0.6086543,4.0494127,2.5654774,3.3718998,3.1644,2.7019005,2.1257,-0.85111,0.41436,1.9303406,3.1499157,2.6633666,2.9271636,2.8583739,3.5797,0.68734336,0.98433
101,2.4299,0.79467,-0.22656,1.5371,2.2143729,-0.9124125,1.4704726,0.4717817,-0.4376,0.38432774,-0.46478,-0.17566,0.33429,0.28537816,1.6442031,-3.0853398,0.065462984,0.057693675,-3.8122,2.3902333,-1.0391
102,0.51394,-1.4551,-3.3692,2.623,1.9816269,1.5770752,-0.37898248,1.0939502,4.0218,4.020452,-1.3011,1.3507,2.1049,0.1694096,1.551561,5.1719337,1.9901956,1.2863775,1.9339,2.1191332,0.15141
103,-3.6741,2.5509,0.66887,6.8872,-0.65494,1.2991074,1.5511,0.6810766,0.57894,0.98717415,0.99583,1.1162,0.02737,1.2283843,1.8155658,2.0318234,2.3326237,1.6290337,0.75606,-1.10112,0.34708
104,-2.6074,2.015,-2.2262,-2.2539,1.4519967,0.3642925,-1.0434074,0.14688335,0.72352,1.7051741,0.30393,0.72817,-2.7135,1.1998436,1.3119345,2.9242334,-0.29350948,-0.08570594,-1.1139,1.9036335,4.844
105,0.21687,2.0215,1.4278,1.0778,-0.570144,2.080665,4.4194,4.6090336,5.1169,0.15658961,3.7923,1.4039,2.1838,1.0283682,5.1723676,4.4163666,4.7763414,4.0612497,5.861,-0.9756233,4.1323
106,5.4196,2.2923,0.63836,1.5264,-0.454818,1.015405,1.32933,2.7182066,4.6832,-0.41605082,2.7448,0.099975,3.9312,0.2970657,1.3013088,-6.6750665,-0.24590068,2.4229574,2.0759,0.5206233,-0.89422
107,-1.0546,0.75361,2.6003,0.85733,0.11788335,-2.1929,-2.059675,-2.0033333,-3.757,-1.5205294,1.2491,1.7068,0.47532,-0.4766056,-1.993676,-4.8524666,-2.2922564,-1.6479367,-2.9804,0.46746334,1.7215
108,1.6967,2.2805,3.3195,1.1229,-0.5207267,2.331827,1.45513,2.6484516,2.5305,-0.42104763,1.5735,-1.007,-2.0636,1.9835247,-0.34527713,-1.3214668,-0.47413987,0.8399024,3.7943,-0.32684165,-1.2363
